Recorded Date,Sleep,Happiness,Gender
2016-06-27T05:15:03Z,5,5,Female
2016-06-27T05:13:18Z,7.5,4,Female
2016-06-27T05:12:54Z,4.75,3,Male
2016-06-27T05:12:52Z,4,2,Male
2016-06-27T05:12:31Z,6,5,Female
2016-06-27T05:12:24Z,4.5,1,Female
2016-06-27T05:12:20Z,3.35,2,Male
2016-06-27T05:12:02Z,2.5,3,Female
2016-06-27T05:11:42Z,6.5,5,Female
2016-06-27T05:11:40Z,5,2,Female
2016-06-27T05:11:36Z,5,4,Female
2016-06-27T05:11:24Z,6.5,4,Female
2016-06-27T05:11:21Z,3,3,Male
2016-06-27T05:11:15Z,1.25,3,Male
2016-06-27T05:11:10Z,7.5,5,Male
2016-06-27T05:11:02Z,6,4,Female
2016-06-27T05:11:02Z,5.25,3,Female
2016-06-27T05:10:53Z,8,4,Female
2016-06-27T05:10:48Z,2,2,Female
2016-06-27T05:10:41Z,9,4,Female
2016-06-27T05:10:37Z,3.5,5,Female
2016-06-27T05:10:37Z,5.5,5,Female
2016-06-27T05:10:35Z,7,5,Male
2016-06-27T05:10:32Z,6,3,Female
2016-06-27T05:10:26Z,4.25,4,Female
2016-06-27T05:09:51Z,5.25,3,Male
2016-06-27T05:09:45Z,7,5,Female
2016-06-27T05:09:43Z,4,3,Male
2016-06-27T05:09:29Z,4,4,Male
2016-06-27T05:09:25Z,5,3,Female
2016-06-27T05:09:24Z,4.5,3,Male
2016-06-27T05:09:17Z,6.5,4,Male
2016-06-27T04:30:14Z,4.5,4,Male
2016-06-27T04:28:47Z,6.25,5,Female
2016-06-27T04:23:54Z,7.5,4,Male
2016-06-27T04:22:56Z,7.5,4,Male
2016-06-27T04:19:11Z,6,5,Female
2016-06-27T04:05:39Z,7,3,Female
2016-06-27T04:00:42Z,5,4,Male
2016-06-27T03:28:24Z,5,3,Female
2016-06-26T15:33:20Z,5.25,2,Male
2016-06-26T14:54:50Z,8.5,5,Female
2016-06-26T10:10:44Z,8.2,4,Male
